epoch,lr,decay_count,train_loss,chat_peak_dist_mean,chat_psr_agg,wordwolfexp_peak_dist_mean,wordwolfexp_psr_agg,grpmtg_peak_dist_mean,grpmtg_psr_agg,overall_peak_dist_mean,epoch_seconds
1,0.001,0,0.0050905133649606325,6.448343917185369,0.7388980263157895,9.355420593147219,0.6818953804347826,7.331804976190197,0.5916781767955801,7.711856495507594,541.4913275241852
2,0.001,0,0.0047305660127556475,6.276871479011824,0.7438322368421053,9.226730985253468,0.6807065217391305,7.227316019763714,0.5999654696132597,7.576972828009668,541.5991463661194
3,0.001,0,0.004666322605050526,5.989066614368128,0.7516447368421053,9.1546282315485,0.6839334239130435,7.092607157520941,0.5915918508287292,7.412100667812523,541.7412142753601
4,0.001,0,0.004611288077397465,6.328208591994805,0.7384868421052632,9.220051908579151,0.6822350543478262,7.209813570091702,0.5967714088397791,7.586024690221886,543.538247346878
5,0.001,0,0.004567318016497545,6.209316264412678,0.7438322368421052,9.122984325232375,0.6830842391304347,7.269511733666251,0.5920234806629835,7.533937441103768,542.6744349002838
6,0.001,0,0.004523317193682203,6.245424402168475,0.7450657894736842,9.94473966713035,0.6528532608695652,7.603754302419773,0.5587879834254144,7.931306123906199,542.9180824756622
7,0.0005,1,0.004327075746505817,6.374286174773244,0.7368421052631579,9.427872352680513,0.6681385869565216,7.493239017450894,0.5798083563535912,7.765132514968218,542.5684239864349
8,0.0005,1,0.004215123473168125,6.4869400464911715,0.7294407894736842,10.091225768691961,0.6418138586956522,7.523850065007497,0.5841678176795579,8.034005293396877,542.3999109268188
9,0.0005,1,0.004139878858321362,7.377531097671284,0.6903782894736842,9.868497550516338,0.6528532608695652,7.8499943424123,0.5625,8.36534099686664,541.923538684845
10,0.00025,2,0.0039018730271791237,6.742563088607594,0.7224506578947367,9.75786451907876,0.6589673913043479,8.036272621704088,0.557708908839779,8.17890007646348,541.8549590110779
11,0.00025,2,0.003792513138114573,7.268911192607652,0.6949013157894737,10.916478454497554,0.6137907608695652,7.821704797096506,0.5555507596685083,8.66903148140057,541.8569476604462
12,0.00025,2,0.0037218669959188065,6.721702216480648,0.7171052631578948,10.319889863959176,0.6409646739130435,8.269714954947844,0.5392351519337018,8.437102345129222,542.3362739086151
13,0.000125,3,0.0035227021863499437,8.014816455337828,0.658717105263158,11.31125951964885,0.5945991847826086,8.116250928222371,0.5469613259668509,9.147442301069683,541.6787068843842
14,0.000125,3,0.003440100347436298,7.5752665243170005,0.678453947368421,12.716452244424811,0.5388926630434783,8.230251440064661,0.543637776243094,9.50732340293549,541.6222121715546
15,0.000125,3,0.003383880216016235,7.622589853050716,0.6731085526315789,12.15432311215694,0.565726902173913,8.547579957129834,0.517610497237569,9.441497640779163,542.2833151817322
