epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_peak_dist_mean,test_psr_aggregate
1,0.005910270988372051,0.0034372929173211255,5.698452271022644,6.280414848797794,6.864668778671838,7.285395348916189,0.7760416666666666,0.7413194444444444,0.7204861111111112,0.6927083333333334,6.532232811852117,0.732638888888889
2,0.003643672517500818,0.0033547032944625244,5.423685160908526,6.343082416707386,6.789981965510251,7.291792162649238,0.7881944444444444,0.7395833333333334,0.7204861111111112,0.6892361111111112,6.46213542644385,0.734375
3,0.003587928947268261,0.003369638212865943,5.457641760929949,6.275013707699925,6.680772526874249,6.99271222867684,0.7847222222222222,0.7413194444444444,0.7222222222222222,0.703125,6.351535056045241,0.7378472222222222
4,0.0035466862544934782,0.0033573496685777274,5.385576035175029,6.272143913063268,6.593954340879316,7.248891919329929,0.7899305555555556,0.7482638888888888,0.7326388888888888,0.6979166666666666,6.375141552111885,0.7421874999999999
5,0.0035043303803023364,0.003297871221244956,5.363528268823884,6.179972049719611,6.512172963354605,6.915660115502439,0.7864583333333334,0.75,0.7326388888888888,0.7100694444444444,6.242833349350134,0.7447916666666667
6,0.0034738609625492244,0.003316058253403753,5.501398287908848,6.0568969890135,6.454322897815478,6.949725409608657,0.7795138888888888,0.7517361111111112,0.7378472222222222,0.7065972222222222,6.24058589608662,0.7439236111111112
7,0.0034150182806317593,0.003319309051019243,5.365836397758987,6.3503795312702165,6.272829670716642,6.7960279743035485,0.7881944444444444,0.7413194444444444,0.7413194444444444,0.7118055555555556,6.196268393512349,0.7456597222222221
8,0.0033606343569570324,0.003391131095769298,5.456695442190766,6.260917545893121,6.565005801438992,7.175845072297674,0.7881944444444444,0.7430555555555556,0.7291666666666666,0.6944444444444444,6.364615965455139,0.7387152777777777
9,0.0032726593260627448,0.0034067048804394696,5.366493859666133,6.239035194714921,6.494597915593025,7.009891923373782,0.7864583333333334,0.7430555555555556,0.7378472222222222,0.7048611111111112,6.277504723336966,0.7430555555555556
10,0.003154968558616626,0.0035139681050269348,5.344871916775022,6.565880478116436,7.004600992300499,7.50967073855674,0.7847222222222222,0.734375,0.7065972222222222,0.6822916666666666,6.606256031437174,0.7269965277777778
11,0.0030222822514285024,0.003802448713233591,6.11752238030937,7.54663147056731,8.864343628335936,9.249792249508234,0.7482638888888888,0.6840277777777778,0.6284722222222222,0.6059027777777778,7.9445724321802125,0.6666666666666666
12,0.0028500579051776893,0.0038002288977925978,5.918741117915475,7.608656359871172,8.000995520319826,8.247501046666592,0.7604166666666666,0.6770833333333334,0.6614583333333334,0.640625,7.443973511193266,0.6848958333333334
13,0.0026687231154129323,0.003847779699652973,6.024093969614849,8.091103193255622,8.194888874489164,9.574671529374806,0.7517361111111112,0.6545138888888888,0.6510416666666666,0.5833333333333334,7.971189391683611,0.66015625
14,0.002479048462312979,0.004044188283539067,6.229454145654702,7.973638670828088,8.18220839689555,9.056797452829537,0.7465277777777778,0.6597222222222222,0.6510416666666666,0.6059027777777778,7.860524666551969,0.665798611111111
15,0.00234167610146364,0.003988970211745861,6.096106459298728,7.794287077354765,8.38525565314214,9.55175231088321,0.75,0.6736111111111112,0.6423611111111112,0.59375,7.956850375169711,0.6649305555555556
16,0.002210193871158279,0.004267448869844277,6.382414828593849,8.5144333836609,9.230399038452381,9.361464453618645,0.7395833333333334,0.640625,0.6006944444444444,0.5868055555555556,8.372177926081443,0.6419270833333334
17,0.002087856345072699,0.004031651405966841,6.349661758031483,8.219779272053065,8.731033274314662,8.762325715290123,0.7430555555555556,0.6475694444444444,0.6267361111111112,0.6284722222222222,8.015700004922333,0.6614583333333334
