epoch,lr,decay_count,train_loss,val_loss,val_peak_dist_t1,val_peak_dist_t2,val_peak_dist_t3,val_peak_dist_t4,val_psr_k5_5_t1,val_psr_k5_5_t2,val_psr_k5_5_t3,val_psr_k5_5_t4,val_peak_dist_mean,val_psr_aggregate,epoch_seconds
1,0.001,0,0.009575717320964152,0.003982559018033116,8.83864840908318,8.925239669343762,9.054476313968117,9.165712869592145,0.6463815789473685,0.6332236842105263,0.631578947368421,0.6200657894736842,8.996019315496802,0.6328125,39.48358750343323
2,0.001,0,0.003916713220031304,0.003540517051557177,5.590377534283455,6.473629104600392,6.903182080313472,7.506981055956538,0.7861842105263158,0.7483552631578947,0.7236842105263158,0.6875,6.6185424437884635,0.7364309210526316,23.676363945007324
3,0.001,0,0.003751854216731385,0.0034512545619356004,5.41089045757971,6.322885432028447,6.824475981646406,7.381029062576278,0.7894736842105263,0.7450657894736842,0.7220394736842105,0.6907894736842105,6.48482023345771,0.736842105263158,23.119130611419678
4,0.001,0,0.003675117836596228,0.003369849469316633,5.37870264448838,6.514285389456553,6.61871555650558,7.125996838913962,0.7911184210526315,0.7351973684210527,0.725328947368421,0.6957236842105263,6.409425107341119,0.736842105263158,23.142586946487427
5,0.001,0,0.003617965626576658,0.0034096099215706714,5.30948186359986,6.207578994770014,6.504347990600489,6.866624976914383,0.7911184210526315,0.7483552631578947,0.7286184210526315,0.7072368421052632,6.222008456471187,0.7438322368421052,23.148500204086304
6,0.001,0,0.0035848965011639985,0.003368387390908442,5.337484439475135,6.199466960143682,6.942539983858268,7.349759017092795,0.7894736842105263,0.75,0.7154605263157895,0.6907894736842105,6.457312600142471,0.7364309210526316,23.120770931243896
7,0.001,0,0.003540211604156876,0.0033354927099456914,5.275227706342129,6.308361686836148,6.715624455279564,6.99063329912844,0.7911184210526315,0.7417763157894737,0.7220394736842105,0.7039473684210527,6.32246178689657,0.7397203947368421,23.15328621864319
8,0.001,0,0.0035278001640671195,0.0033901970784522987,5.277017307650777,6.336723775755429,6.618945340952891,7.137369272915232,0.7894736842105263,0.7450657894736842,0.7302631578947368,0.6973684210526315,6.342513924318582,0.7405427631578947,23.143820762634277
9,0.0005,1,0.0034661372385157573,0.0032866415322611205,5.177213446185664,6.310789698023827,6.285768617998017,6.726762277070053,0.7944078947368421,0.7450657894736842,0.7401315789473685,0.7154605263157895,6.12513350981939,0.748766447368421,23.13963794708252
10,0.0005,1,0.0034433599118946006,0.0033119837508389822,5.289919517605618,6.330122459082908,6.552570097018585,6.799831995086265,0.7911184210526315,0.7384868421052632,0.7302631578947368,0.7088815789473685,6.243111017198344,0.7421875,23.166483402252197
11,0.0005,1,0.0034187334378697597,0.0033076006649552206,5.219800915693407,6.270798327755557,6.438674028442159,6.661241334831848,0.7927631578947368,0.7467105263157895,0.7351973684210527,0.7154605263157895,6.147628651680742,0.747532894736842,23.147977590560913
12,0.0005,1,0.003396763576925295,0.003369580954313278,5.317416605649502,6.836809201573698,7.4516947443759465,7.68048238822949,0.7911184210526315,0.7203947368421053,0.6875,0.6776315789473685,6.821600734957158,0.7191611842105263,23.136679649353027
13,0.00025,2,0.003292819346141749,0.003419685925013925,5.272880881366302,6.665431499960469,7.65589147412251,8.079890729849199,0.7927631578947368,0.7220394736842105,0.6743421052631579,0.6611842105263158,6.918523646324619,0.7125822368421053,23.117036819458008
14,0.00025,2,0.003233961977105773,0.0033545578633876224,5.3284666412163935,6.605749529423954,7.18635962418379,7.813208858286065,0.787828947368421,0.7286184210526315,0.6990131578947368,0.6677631578947368,6.73344616327755,0.7208059210526315,23.146859407424927
15,0.00025,2,0.0031592784570375694,0.0034361261825420356,5.493617778795164,7.124314673544896,7.650208219778945,8.210787007364429,0.7796052631578947,0.7039473684210527,0.6776315789473685,0.6529605263157895,7.119731919870858,0.7035361842105263,23.157193660736084
16,0.000125,3,0.002969141096360364,0.003694132779185709,5.968068330043685,7.592523467340566,8.355699187516702,8.685171313596488,0.7582236842105263,0.6825657894736842,0.6414473684210527,0.6233552631578947,7.65036557462436,0.6763980263157895,23.157483339309692
17,0.000125,3,0.002876071896126175,0.0036799500108157333,5.734911886608834,7.458631566960592,8.719921507712439,8.741058597867406,0.7697368421052632,0.6825657894736842,0.6332236842105263,0.6233552631578947,7.663630889787317,0.677220394736842,23.198667764663696
18,0.000125,3,0.0028043702709133534,0.003730730766332463,5.4583475802241885,7.425367150398616,9.172446306702724,9.693120728739384,0.7861842105263158,0.6858552631578947,0.6118421052631579,0.5855263157894737,7.937320441516229,0.6673519736842106,23.121919631958008
