epoch,lr,decay_count,train_loss,chat_peak_dist_mean,chat_psr_agg,wordwolfexp_peak_dist_mean,wordwolfexp_psr_agg,grpmtg_peak_dist_mean,grpmtg_psr_agg,overall_peak_dist_mean,epoch_seconds
1,0.001,0,0.005466601368101151,6.4311950327676755,0.7388980263157895,9.65965620461025,0.6606657608695652,7.422423682456394,0.5954765193370166,7.83775830661144,601.9521889686584
2,0.001,0,0.005059534847398492,6.419821071687744,0.7376644736842105,9.173262905752313,0.6830842391304347,7.076833720889625,0.5969440607734806,7.556639232776561,601.1781477928162
3,0.001,0,0.0049630686578743454,6.378006504547474,0.7376644736842105,9.118618762209481,0.6808763586956521,7.010175246110626,0.6037638121546962,7.502266837622527,600.9070694446564
4,0.001,0,0.004896563934948156,6.352121491014404,0.7384868421052633,9.105299128407385,0.6854619565217392,7.426609893091181,0.5850310773480664,7.6280101708376575,600.8609347343445
5,0.001,0,0.004842116087857165,6.143592348254571,0.7471217105263158,9.161723418529395,0.6832540760869565,7.167841293668003,0.5850742403314917,7.4910523534839895,600.8740684986115
6,0.001,0,0.004795098960177456,6.100717331796752,0.7471217105263158,9.260022544426912,0.6710258152173914,7.879628629662359,0.5691039364640884,7.7467895019620086,602.9008107185364
7,0.001,0,0.004749448833580571,6.392651320364601,0.7323190789473685,9.13308159894279,0.6786684782608696,7.295438612333814,0.5894337016574586,7.607057177213735,600.8647735118866
8,0.001,0,0.004708953584751552,6.166792062199832,0.7467105263157895,9.19702568086728,0.6822350543478262,7.3883789354893,0.5882251381215469,7.5840655595188045,600.819084405899
9,0.0005,1,0.004533255735916505,6.309390541028423,0.7351973684210527,9.922806750394784,0.647758152173913,7.395050515972437,0.5820528314917127,7.87574926913188,601.0632498264313
10,0.0005,1,0.004420292714001799,6.646858441302277,0.7212171052631579,10.20099516676681,0.6329823369565217,7.544106609908841,0.5684996546961326,8.130653405992643,601.211199760437
11,0.0005,1,0.004330693512329446,6.883886186391721,0.7092927631578947,9.464574424562118,0.6696671195652174,7.4912647986573795,0.5716505524861879,7.946575136537073,601.2346134185791
12,0.00025,2,0.004132568625045538,6.791107100228182,0.7138157894736842,11.806295456290766,0.5718410326086956,7.749956914042219,0.5510186464088398,8.782453156853721,601.3538885116577
13,0.00025,2,0.004003490615761485,7.080371697251154,0.6994243421052632,11.929701201326685,0.5681046195652175,7.800179066888289,0.5479540745856354,8.936750655155377,600.8755660057068
14,0.00025,2,0.003908020493592186,7.4002703449551195,0.6912006578947368,12.741601763638926,0.5341372282608695,8.391560466021676,0.5117403314917127,9.511144191538573,600.8683369159698
15,0.000125,3,0.0037330565839292346,7.735093003047347,0.670641447368421,13.194214554020526,0.5113790760869565,8.080441244141598,0.5324154005524862,9.669916267069823,599.934565782547
16,0.000125,3,0.0036362624914214603,7.754194379588795,0.6726973684210527,14.846992044270534,0.4558423913043479,8.202280270860117,0.5235669889502763,10.267822231573149,602.474406003952
17,0.000125,3,0.003564023568791141,7.708737574070183,0.6743421052631579,15.226883605873804,0.4422554347826087,8.458471349388114,0.5119129834254144,10.464697509777366,600.1554636955261
