epoch,lr,decay_count,train_loss,val_loss,val_peak_dist_t1,val_peak_dist_t2,val_peak_dist_t3,val_peak_dist_t4,val_psr_k5_5_t1,val_psr_k5_5_t2,val_psr_k5_5_t3,val_psr_k5_5_t4,val_peak_dist_mean,val_psr_aggregate,epoch_seconds
1,0.001,0,0.007919204447068562,0.004123092151099914,5.795476899091705,6.564962581655583,6.993846876665522,7.547072024249614,0.7796052631578947,0.743421052631579,0.712171052631579,0.6891447368421053,6.7253395954156066,0.7310855263157895,43.43170738220215
2,0.001,0,0.0037878483459250537,0.003630804866062183,5.667145013735333,6.290931841547456,6.80825262643125,7.435226005369748,0.7828947368421053,0.7467105263157895,0.7220394736842105,0.6973684210526315,6.550388871770948,0.7372532894736842,27.6587073802948
3,0.001,0,0.0036391854422547706,0.0033628271500530994,5.397912052290359,6.123555135024534,6.5541113736732095,7.05017792431109,0.7894736842105263,0.7516447368421053,0.7269736842105263,0.694078947368421,6.281439121324798,0.7405427631578947,27.664401054382324
4,0.001,0,0.0035888218714531447,0.0033608685174074614,5.481875738282984,6.37232693646813,6.75090237093482,7.0811057947830855,0.7894736842105263,0.7401315789473685,0.7269736842105263,0.7006578947368421,6.421552710117255,0.7393092105263158,27.68638563156128
5,0.001,0,0.003565170421414283,0.0034141229759705695,5.308778904409528,6.268253323580325,6.6405183204739755,6.956763443773212,0.7944078947368421,0.7467105263157895,0.7302631578947368,0.7039473684210527,6.293578498059261,0.7438322368421053,27.714130640029907
6,0.001,0,0.003532498758492055,0.0033701309983275437,5.364925346757647,6.378523932856426,6.749045166054023,7.0778823577315855,0.7927631578947368,0.7401315789473685,0.7220394736842105,0.7006578947368421,6.39259420084992,0.7388980263157895,27.72262406349182
7,0.0005,1,0.003466107431047941,0.0033100608393157784,5.504682151998148,6.311565844868181,6.519189054121408,6.9894987022694774,0.7861842105263158,0.743421052631579,0.7286184210526315,0.7055921052631579,6.331233938314304,0.740953947368421,27.712734937667847
8,0.0005,1,0.0034537383674216864,0.0032962938206956573,5.466363524169423,6.225990066045307,6.480646927161642,6.799444929789565,0.787828947368421,0.7467105263157895,0.7401315789473685,0.7088815789473685,6.243111361791485,0.745888157894737,27.688554286956787
9,0.0005,1,0.003429776819124406,0.003304499103442619,5.5659210514698865,6.339165837386978,6.428283961015646,6.856475692342269,0.7796052631578947,0.7467105263157895,0.7368421052631579,0.7171052631578947,6.297461635553694,0.7450657894736842,27.67302918434143
10,0.0005,1,0.0034008730120586427,0.003353232677143655,5.577744984981559,6.4059451386098925,6.6504670615468235,6.848152146231049,0.7779605263157895,0.7384868421052632,0.7236842105263158,0.7105263157894737,6.3705773328423305,0.7376644736842106,27.666763067245483
11,0.0005,1,0.003363991749231081,0.003518989738567095,5.797336756966502,6.451397954864499,6.71638862414147,7.203133203764895,0.7697368421052632,0.7384868421052632,0.7203947368421053,0.6891447368421053,6.542064134934342,0.7294407894736843,27.720612287521362
12,0.00025,2,0.0032769939759283106,0.003337798272504618,5.599963488645546,6.180115410355998,6.451870300485418,6.843029148855244,0.7730263157894737,0.7467105263157895,0.7335526315789473,0.7138157894736842,6.268744587085552,0.7417763157894737,27.708523273468018
13,0.00025,2,0.003217104778661089,0.0034469938591906897,5.691116380623916,6.382419450208548,6.908309815051014,7.457565305399131,0.7680921052631579,0.7401315789473685,0.7171052631578947,0.6875,6.609852737820653,0.7282072368421053,27.697179317474365
14,0.00025,2,0.003138841739572708,0.003517430042847991,6.015894329993644,6.436093878562492,6.883913484462846,7.279425274799681,0.7549342105263158,0.7351973684210527,0.7138157894736842,0.6924342105263158,6.653831741954666,0.7240953947368421,27.653963565826416
15,0.000125,3,0.00297305466174997,0.003601166701532508,6.235498242464874,6.674213246449466,6.836454949985587,7.339003848909293,0.7467105263157895,0.7269736842105263,0.71875,0.6907894736842105,6.771292571952305,0.7208059210526316,27.68334150314331
16,0.000125,3,0.0028630313167646937,0.0035887085955197875,5.699296886815367,6.87820541946764,7.773559096698631,8.533209712930605,0.7697368421052632,0.71875,0.6726973684210527,0.6348684210526315,7.22106777897806,0.6990131578947368,27.724093437194824
17,0.000125,3,0.002767185539068932,0.0037277071173057743,5.752157232125675,7.302842055894228,8.098011202416574,8.305408845949156,0.7664473684210527,0.7023026315789473,0.6578947368421053,0.6447368421052632,7.364604834096409,0.6928453947368421,27.67319965362549
