epoch,lr,decay_count,train_loss,chat_peak_dist_mean,chat_psr_agg,wordwolfexp_peak_dist_mean,wordwolfexp_psr_agg,grpmtg_peak_dist_mean,grpmtg_psr_agg,overall_peak_dist_mean,epoch_seconds
1,0.001,0,0.005090896709076444,6.573478346064785,0.7376644736842105,9.46348591460742,0.6820652173913043,7.221574665442969,0.5980231353591161,7.752846308705059,543.6219506263733
2,0.001,0,0.004726612193410958,6.279844617962091,0.7438322368421052,9.202274569413264,0.6818953804347826,6.999986667558646,0.6060514502762431,7.4940352849780005,546.5824418067932
3,0.001,0,0.004666746812098196,5.9934055215591115,0.7541118421052632,9.135425118458762,0.6793478260869565,7.0883534557953425,0.5964692679558011,7.4057280319377385,546.8355441093445
4,0.001,0,0.004616583285108106,6.17350827587555,0.7446546052631579,9.225199310240319,0.6793478260869565,7.176251853255332,0.6031163674033149,7.5249864797904,546.4813890457153
5,0.001,0,0.004573200087051219,6.09705143412793,0.743421052631579,9.07221311229187,0.6852921195652175,7.199577952253696,0.5893905386740331,7.4562808328911645,546.1700088977814
6,0.001,0,0.004528359345574289,6.259937930614852,0.7393092105263158,9.81507937776547,0.6530230978260869,7.470907103897508,0.5824412983425414,7.848641470759276,546.6620795726776
7,0.0005,1,0.0043803031883501995,6.441596934779064,0.7347861842105263,9.36781588759621,0.6713654891304348,7.40951383005563,0.5887862569060773,7.739642217476967,546.0897660255432
8,0.0005,1,0.004278081803611328,6.321490379906291,0.7380756578947368,10.247929333198256,0.629585597826087,7.153532034795731,0.5945269337016574,7.907650582633426,546.6774578094482
9,0.0005,1,0.004192386486409601,7.178009193517941,0.6940789473684211,10.066597694038478,0.6377377717391304,7.399568345980681,0.5781681629834254,8.2147250778457,546.0918135643005
10,0.00025,2,0.004006625838987509,6.47823668948225,0.7249177631578947,10.490796970849916,0.626358695652174,7.712571083752323,0.5610324585635359,8.227201581361497,546.1193392276764
11,0.00025,2,0.0038885754444774874,6.91971674365104,0.7076480263157896,12.957897302578267,0.5315896739130435,7.736331939867702,0.5600397099447514,9.204648662032335,545.8898432254791
12,0.00025,2,0.0037941033150621236,6.687934105602597,0.7228618421052632,12.666169303914181,0.5395720108695652,8.080668988776075,0.5407026933701657,9.144924132764285,546.5912511348724
13,0.000125,3,0.003636308468258755,7.070351850216273,0.7051809210526316,13.352948633573364,0.5166440217391304,8.07062734819208,0.5414796270718232,9.497975943993906,545.9870686531067
14,0.000125,3,0.0035444727224989646,7.081167166295572,0.7039473684210527,13.012048005264042,0.528702445652174,7.858289861964977,0.550845994475138,9.317168344508197,546.8327040672302
15,0.000125,3,0.0034785891111503205,7.073731237666257,0.6998355263157895,13.483173559194663,0.5118885869565217,8.101466158884921,0.5417386049723756,9.552790318581946,546.8252291679382
