epoch,lr,decay_count,train_loss,chat_peak_dist_mean,chat_psr_agg,wordwolfexp_peak_dist_mean,wordwolfexp_psr_agg,grpmtg_peak_dist_mean,grpmtg_psr_agg,overall_peak_dist_mean,epoch_seconds
1,0.001,0,0.0058709587524206144,6.374987816771843,0.740953947368421,9.371215065671219,0.6745923913043479,7.405284368531511,0.6079506215469613,7.717162416991524,1057.2113173007965
2,0.001,0,0.005549018110363709,6.300900955627684,0.740953947368421,9.29691994962188,0.6749320652173914,7.154625424226909,0.600310773480663,7.584148776492158,1061.472769021988
3,0.001,0,0.00546382125402882,6.220061565616467,0.7454769736842106,9.160574800488826,0.6841032608695652,7.112061836166772,0.6021236187845304,7.497566067424022,1061.5996878147125
4,0.001,0,0.005403478140984891,6.236865615705352,0.7438322368421053,9.191765433754444,0.6796875000000001,7.039038462722278,0.6029005524861878,7.4892231707273575,1061.5278527736664
5,0.001,0,0.0053459648124924986,6.310893700435181,0.7405427631578948,9.091326707705552,0.6847826086956521,7.01779695755672,0.6059651243093923,7.4733391218991505,1061.668925523758
6,0.001,0,0.005293577964768098,6.267305387862306,0.7438322368421053,9.211249429272028,0.6744225543478262,7.145662299111701,0.5991885359116023,7.541405705415346,1061.6862182617188
7,0.001,0,0.005244603928813347,6.094224639387077,0.7471217105263157,9.188495812786222,0.6795176630434783,7.307944213276794,0.598023135359116,7.530221555150031,1059.0281081199646
8,0.001,0,0.005191748611539287,6.323481511571557,0.735608552631579,9.13247362144035,0.68359375,7.147578628494835,0.5953901933701657,7.534511253835581,1060.1064159870148
9,0.0005,1,0.004984695377243473,6.157952502925843,0.7487664473684211,9.276505744768718,0.6773097826086957,7.171194064059625,0.5984116022099447,7.5352174372513945,1060.0745375156403
10,0.0005,1,0.0048418811100522,6.332139702872254,0.7376644736842106,9.895524587213243,0.6411345108695652,7.101919259258176,0.5959944751381216,7.776527849781225,1060.0496056079865
11,0.0005,1,0.004738401305347943,6.106832888306633,0.7479440789473684,9.636978571449664,0.6540421195652174,7.136495565321612,0.5916781767955801,7.626769008359304,1058.954446554184
12,0.00025,2,0.004500976346884886,6.836247392114045,0.712171052631579,10.500359509555206,0.615828804347826,7.375512103729797,0.5759668508287293,8.237373001799684,1060.1993808746338
13,0.00025,2,0.004359263124041126,6.9320799028547615,0.7084703947368421,13.607240149557052,0.49592391304347827,7.381782863852122,0.575621546961326,9.307034305421311,1060.1203277111053
14,0.00025,2,0.0042551117839628025,6.949060218733891,0.7047697368421053,12.791663493426661,0.5278532608695652,8.066405201886088,0.5339692679558011,9.26904297134888,1060.3796865940094
15,0.000125,3,0.004069049923885451,7.045501474481415,0.7002467105263158,13.92809033316162,0.48522418478260876,7.966957705538192,0.5447168508287292,9.646849837727077,1059.9655332565308
16,0.000125,3,0.003973665640239654,7.0090358430111595,0.701891447368421,16.17942551886765,0.3984375,8.117021325009318,0.5333649861878452,10.435160895629375,1060.0971059799194
17,0.000125,3,0.003906163109989468,6.635385332709036,0.7195723684210527,15.978552990174816,0.41117527173913043,8.006443775921625,0.5409185082872928,10.206794032935159,1060.2919743061066
