epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_peak_dist_mean,test_psr_aggregate
1,0.00798610875702036,0.00373566893272494,5.673663414224168,6.375906986552621,6.855778586816115,7.373175114183703,0.7763157894736842,0.7417763157894737,0.7220394736842105,0.6924342105263158,6.569631025444151,0.7331414473684211
2,0.003775025810531819,0.003427476058469007,5.568186840458989,6.2852501840662285,6.751248522623628,7.384831308425265,0.7828947368421053,0.7417763157894737,0.7203947368421053,0.6875,6.497379213893528,0.733141447368421
3,0.0036384300881924713,0.00337356480916864,5.435761761512464,6.292623043812264,6.577697507152114,7.202762196311522,0.7861842105263158,0.743421052631579,0.7269736842105263,0.6924342105263158,6.377211127197091,0.7372532894736843
4,0.003590753997897328,0.0033134133432452615,5.392957117460665,6.145642638445485,6.669198537271939,7.13087413058233,0.7861842105263158,0.7483552631578947,0.725328947368421,0.694078947368421,6.334668105940105,0.7384868421052633
5,0.0035567566062946346,0.0033418703701739248,5.386327544839909,6.16869417191321,6.415889525285371,6.933178219207322,0.7861842105263158,0.7483552631578947,0.7384868421052632,0.7072368421052632,6.226022365311453,0.7450657894736843
6,0.0035294904592266894,0.0034210016999981904,5.407816794631484,6.238684667858025,6.554809397986753,6.9947631867452635,0.787828947368421,0.7483552631578947,0.7302631578947368,0.7006578947368421,6.299018511805381,0.7417763157894737
7,0.0035019394599456978,0.0033305475218711714,5.326848380821532,6.162247308108931,6.490610261364128,6.780388003701887,0.7911184210526315,0.7516447368421053,0.7319078947368421,0.7138157894736842,6.190023488499119,0.7471217105263157
8,0.003495426357142339,0.0033247912008511392,5.352386990671317,6.17342184506833,6.348681249890672,6.871960718305366,0.7894736842105263,0.75,0.7384868421052632,0.7105263157894737,6.186612700983921,0.7471217105263157
9,0.0034671255570028533,0.0032801672963327483,5.410326797244064,6.330221039632564,6.291934962084886,6.723665488337988,0.7861842105263158,0.743421052631579,0.7417763157894737,0.7171052631578947,6.189037071824876,0.7471217105263157
10,0.0034433331518068664,0.0033059148975697005,5.335582332805759,6.25466282230916,6.5005307834143755,6.712280756248808,0.7894736842105263,0.7467105263157895,0.7319078947368421,0.7088815789473685,6.200764173694526,0.7442434210526316
11,0.0034054902559712283,0.0033383329742048915,5.549892573741429,6.2550004220322855,6.471504599023613,6.626663823925191,0.774671052631579,0.7467105263157895,0.7269736842105263,0.725328947368421,6.22576535468063,0.743421052631579
12,0.0033927324565014294,0.003278484359677685,5.390224184413359,6.11996761655371,6.338106778571643,6.922442691645286,0.7861842105263158,0.7467105263157895,0.7417763157894737,0.7105263157894737,6.192685317796,0.746299342105263
13,0.003345345691083133,0.003302517187732615,5.422845804964686,6.31230097400176,6.318702092485187,6.824395951798174,0.78125,0.743421052631579,0.7417763157894737,0.7105263157894737,6.219561205812451,0.7442434210526316
14,0.0033028283624688564,0.0033184889777514493,5.532735079452434,6.182415227578326,6.4014958086186695,6.902389397415977,0.78125,0.7450657894736842,0.7384868421052632,0.7088815789473685,6.254758878266352,0.743421052631579
15,0.0032513666697340446,0.003364620485195988,5.665317302101229,6.141555781434927,6.423574960442893,6.832658939853756,0.7730263157894737,0.75,0.7401315789473685,0.7154605263157895,6.265776745958201,0.7446546052631579
16,0.003191429522217802,0.003458047518506646,5.575544234294123,6.391733401522441,6.849562239369743,7.435339160306748,0.7763157894736842,0.7401315789473685,0.7236842105263158,0.6907894736842105,6.563044758873264,0.7327302631578948
17,0.0031386253845913964,0.003401550415315126,5.450720341791318,6.273925025903776,7.058709923796047,7.463338560401586,0.78125,0.7401315789473685,0.7039473684210527,0.680921052631579,6.561673462973181,0.7265625
18,0.003068378366895267,0.0034216264581405803,5.646902727115881,6.414805827660287,6.626637144902798,7.2591799323987605,0.7763157894736842,0.7335526315789473,0.725328947368421,0.6907894736842105,6.486881408019432,0.7314967105263157
