epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.008075015173031233,0.0036137301572843603,5.7592433256945545,6.478024166316601,6.99033681677182,7.51490145010717,0.7796052631578947,0.7401315789473685,0.7220394736842105,0.6907894736842105,0.7331414473684211
2,0.003869171177155405,0.003409485822837604,5.433044511649688,6.47064569844872,6.741085989776363,7.227764566745721,0.7894736842105263,0.7417763157894737,0.7269736842105263,0.6957236842105263,0.7384868421052633
3,0.003715182650700541,0.003391049520455693,5.456653828030291,6.338536011132514,6.560339318778862,7.311476672017357,0.7845394736842105,0.7450657894736842,0.725328947368421,0.6891447368421053,0.7360197368421053
4,0.003668202412731493,0.003331612244150356,5.288133231594826,6.277907165191055,6.6468723011431825,7.130243533752195,0.7944078947368421,0.7450657894736842,0.7302631578947368,0.6973684210526315,0.7417763157894737
5,0.003645151126769613,0.0033673300089216546,5.256589055451614,6.400445179557965,6.800201637844195,7.145315205292226,0.7960526315789473,0.7384868421052632,0.7236842105263158,0.7023026315789473,0.7401315789473685
6,0.0036164781745029254,0.0034072102219062416,5.326597401084,6.31768378580393,6.607406018321057,6.999646751628632,0.7944078947368421,0.7384868421052632,0.7236842105263158,0.7006578947368421,0.7393092105263158
7,0.003597591386192082,0.003323859179784593,5.6433401841197135,6.26818015077739,6.51930523632825,7.056080456689496,0.7763157894736842,0.7417763157894737,0.725328947368421,0.7039473684210527,0.7368421052631579
8,0.003584614915011749,0.0033152608053856774,5.42989820473867,6.1083463448851605,6.610497225754063,6.965065601617841,0.7861842105263158,0.7483552631578947,0.7269736842105263,0.7039473684210527,0.7413651315789475
9,0.0035674788690691823,0.0032987729033553286,5.454909420029281,6.419291984570226,6.755644621123697,6.918492388679489,0.787828947368421,0.7417763157894737,0.725328947368421,0.7072368421052632,0.7405427631578948
10,0.003541819308755806,0.0032902671097728765,5.439477234642824,6.313908886477302,6.450897185183169,6.871178311202291,0.787828947368421,0.7417763157894737,0.7351973684210527,0.7088815789473685,0.743421052631579
11,0.0035310809240671317,0.0032633207493314616,5.31948337602327,6.219549640896044,6.423672366190721,6.592238975481478,0.7911184210526315,0.7467105263157895,0.7384868421052632,0.71875,0.748766447368421
12,0.0035211142571900268,0.0033043323967017627,5.527197823321834,6.233077990400561,6.586030957696875,6.850147519064225,0.7796052631578947,0.7450657894736842,0.7319078947368421,0.7088815789473685,0.7413651315789473
13,0.0034951524672649018,0.0032757982905758055,5.436240737422073,6.44907356831127,6.483618236596483,6.805155171810242,0.7845394736842105,0.7368421052631579,0.7335526315789473,0.7171052631578947,0.7430098684210527
14,0.0034686677487186304,0.0032725570796939885,5.454665609782175,6.021283813480166,6.302707759250591,6.639762661909491,0.7828947368421053,0.7516447368421053,0.7368421052631579,0.7203947368421053,0.7479440789473685
15,0.0034640328688495562,0.003276330994834241,5.371403282156708,6.284452444814167,6.293990268813544,6.9642742170688665,0.787828947368421,0.743421052631579,0.7467105263157895,0.7072368421052632,0.7462993421052632
16,0.0034381298217099183,0.0033399193719225494,5.462569353224315,6.313688018447873,6.613703362391218,6.734458227030634,0.7894736842105263,0.7384868421052632,0.7286184210526315,0.7171052631578947,0.7434210526315789
17,0.0034054706145839465,0.003299557775455086,5.469262816512924,5.949519219955256,6.187569742503183,6.61891626767949,0.7861842105263158,0.7582236842105263,0.743421052631579,0.7220394736842105,0.752467105263158
18,0.0033930998388163294,0.0033325218154411566,5.45657084549238,6.314581153001159,6.672981207101513,7.4099125590120165,0.7828947368421053,0.7401315789473685,0.7203947368421053,0.6875,0.7327302631578948
19,0.003370567740749012,0.003343381061169662,5.607823685836571,6.036453849926957,6.6061233105897195,7.133754442903687,0.7763157894736842,0.75,0.7236842105263158,0.694078947368421,0.7360197368421053
20,0.003321167543396683,0.0033594923902695115,5.507219428891182,6.558353519244991,6.6053203639211695,7.1533939317879085,0.7845394736842105,0.7319078947368421,0.7302631578947368,0.6973684210526315,0.7360197368421052
21,0.0032911244612598783,0.003427363258149279,5.486346133353159,6.697310797086129,6.586017375457021,6.946539208730398,0.7796052631578947,0.7220394736842105,0.7269736842105263,0.7072368421052632,0.7339638157894738
