epoch,lr,decay_count,train_loss,val_loss,val_peak_dist_t1,val_peak_dist_t2,val_peak_dist_t3,val_peak_dist_t4,val_psr_k5_5_t1,val_psr_k5_5_t2,val_psr_k5_5_t3,val_psr_k5_5_t4,val_peak_dist_mean,val_psr_aggregate,epoch_seconds
1,0.001,0,0.00796479337658342,0.003731492232825411,5.740976837897752,6.7275181297221405,6.875238934913426,7.293330447366381,0.774671052631579,0.7302631578947368,0.71875,0.6973684210526315,6.659266087474926,0.7302631578947368,28.11630392074585
2,0.001,0,0.0037759061882179745,0.003439193714017931,5.671709765992615,6.318654653816563,6.943081879503199,7.35170230611797,0.7828947368421053,0.7516447368421053,0.7154605263157895,0.6891447368421053,6.571287151357588,0.7347861842105263,27.466732025146484
3,0.001,0,0.0036407284958298366,0.003373799012287667,5.372068048186963,6.203996283274865,6.48310154670768,7.038510920294525,0.7911184210526315,0.7467105263157895,0.7319078947368421,0.7006578947368421,6.274419199616008,0.7425986842105263,27.5467791557312
4,0.001,0,0.0035959312278077585,0.003319290650420283,5.347289157872603,6.226316894995516,6.622367544419426,7.220711632995856,0.7894736842105263,0.7450657894736842,0.7236842105263158,0.694078947368421,6.35417130757085,0.738075657894737,27.54270362854004
5,0.001,0,0.0035638694448180456,0.003325739912198562,5.336299756481042,6.180757122765248,6.620654169981598,7.027083830871398,0.7927631578947368,0.7516447368421053,0.7269736842105263,0.7039473684210527,6.291198720024822,0.7438322368421052,27.592193603515625
6,0.001,0,0.003536621473976591,0.003364800634842954,5.3361133806964345,6.239962818874814,6.67109414031257,6.963599712670708,0.7894736842105263,0.7467105263157895,0.7236842105263158,0.7039473684210527,6.3026925131386315,0.7409539473684211,27.61666703224182
7,0.0005,1,0.0034695851966450556,0.0032660299789552625,5.211403279393139,6.157117208180356,6.467318686940051,6.8302550195614495,0.7960526315789473,0.7467105263157895,0.7319078947368421,0.7055921052631579,6.166523548518748,0.7450657894736842,27.594362497329712
8,0.0005,1,0.003462351359509302,0.003273572993317717,5.343368098445202,6.1537206421860615,6.246034801866763,6.779745706158373,0.787828947368421,0.7450657894736842,0.7417763157894737,0.7138157894736842,6.1307173121641,0.7471217105263157,27.65376377105713
9,0.0005,1,0.003438842295056713,0.0032653290974466423,5.358774981802951,5.939518412904712,6.294362211009275,6.713573016507293,0.7861842105263158,0.7549342105263158,0.7401315789473685,0.7171052631578947,6.076557155556058,0.7495888157894737,27.65906524658203
10,0.0005,1,0.00341616986442913,0.0033188223544704286,5.320270689582017,6.323237191044153,6.643051214539449,6.92956111265103,0.787828947368421,0.7384868421052632,0.7236842105263158,0.7055921052631579,6.304030051954163,0.7388980263157895,27.672691583633423
11,0.0005,1,0.0033889175701413035,0.0032716593460032813,5.330772197881892,6.016392942881008,6.105077543964179,6.711898529904677,0.787828947368421,0.75,0.7549342105263158,0.7171052631578947,6.041035303657939,0.7524671052631579,27.65863561630249
12,0.0005,1,0.003362935887989254,0.0033054114441926543,5.352945190753462,6.1976210735150445,6.679639783322625,6.999285108032235,0.7828947368421053,0.7450657894736842,0.7203947368421053,0.7039473684210527,6.307372788905842,0.7380756578947368,27.647357940673828
13,0.0005,1,0.003329944288749145,0.0033122559543699026,5.425072044381946,6.350661459679065,6.4237690741678914,7.158955249264903,0.7828947368421053,0.7384868421052632,0.7302631578947368,0.6891447368421053,6.339614456873451,0.7351973684210527,27.676587343215942
14,0.0005,1,0.0032626317649338786,0.003372987340155401,5.712595049824891,6.625272886724007,6.546350921349823,6.917397304051694,0.7697368421052632,0.7269736842105263,0.7335526315789473,0.7105263157894737,6.450404040487604,0.7351973684210527,27.646816730499268
15,0.00025,2,0.0031180582408026603,0.0033721173255655324,5.514435500050999,6.189534182653477,6.702146119038052,7.037036127169887,0.7779605263157895,0.7467105263157895,0.725328947368421,0.7006578947368421,6.3607879822281035,0.7376644736842105,27.627800941467285
16,0.00025,2,0.0030191393533093823,0.0034995304396081913,5.639875485888909,6.916888518637913,7.35706518981742,8.02414316570865,0.7730263157894737,0.712171052631579,0.6973684210526315,0.65625,6.984493090013223,0.709703947368421,27.66530179977417
17,0.00025,2,0.0029298057200809044,0.0036824355024452273,5.732925206159669,7.379425798697383,8.48166698830185,8.617593108026961,0.7680921052631579,0.6891447368421053,0.6348684210526315,0.6266447368421053,7.552902775296465,0.6796875,27.68561625480652
18,0.000125,3,0.0027139711223326582,0.003775934602967218,5.920857427522435,7.801759434657341,8.85392025299187,9.236775148862618,0.7615131578947368,0.6726973684210527,0.6217105263157895,0.600328947368421,7.953328066008567,0.6640625,27.695974111557007
19,0.000125,3,0.0026088162841151844,0.0038208394115300556,6.005122888239036,7.791179894599421,8.326111530556798,8.95171803686011,0.756578947368421,0.6694078947368421,0.6414473684210527,0.618421052631579,7.76853308756384,0.6714638157894737,27.64969825744629
20,0.000125,3,0.002525422733678426,0.0038703417062367265,6.067155553012808,7.636956721301076,8.66221219116123,8.97634655706461,0.7549342105263158,0.6825657894736842,0.6332236842105263,0.6085526315789473,7.8356677556349315,0.6698190789473685,27.642998933792114
