epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.005860218820854437,0.005287491577641608,10.427094489581975,12.605561357701673,12.829391384765934,13.293957172751048,0.6346153846153846,0.5564903846153846,0.5474759615384616,0.5324519230769231,0.5677584134615385
2,0.005537719752455762,0.0054440596722997725,10.460948822372481,13.084930809816926,13.371531591643851,13.434622867237579,0.6334134615384616,0.5360576923076923,0.5270432692307693,0.5222355769230769,0.5546875
3,0.0054530189807526,0.005389456355120414,10.200692224648845,12.886769365454398,13.283046090934478,13.353093523964343,0.6424278846153846,0.5456730769230769,0.5276442307692307,0.5258413461538461,0.5603966346153846
4,0.005389129287277174,0.005402335176208558,10.954136147754555,13.129461261436244,13.253906254642168,13.3861438375102,0.6207932692307693,0.5360576923076923,0.5282451923076923,0.5258413461538461,0.552734375
5,0.005331283643430424,0.005417374267171209,10.539199562046027,12.999190541763168,13.195624543033135,13.246989461992179,0.6310096153846154,0.5414663461538461,0.5258413461538461,0.5258413461538461,0.5560396634615385
6,0.005280731484082933,0.005503160413354635,10.731012231882762,13.15721114781337,13.366766096848242,13.366056110739912,0.6328125,0.5336538461538461,0.5270432692307693,0.5246394230769231,0.5545372596153846
7,0.005226744419205847,0.005355903802690311,10.454578747905446,13.031344539810457,13.054469809806445,13.150915455645576,0.6352163461538461,0.5426682692307693,0.5390625,0.53125,0.5620492788461539
8,0.0051757968814183765,0.005629003871805393,11.628851689520676,13.283719127119339,13.39321047910795,13.427123542615345,0.5943509615384616,0.5306490384615384,0.5228365384615384,0.5216346153846154,0.5423677884615384
9,0.005126134949686919,0.005483620862763088,10.744635923983473,12.88513119319024,13.308038795938863,13.309288468234124,0.6213942307692307,0.5438701923076923,0.5246394230769231,0.5258413461538461,0.553936298076923
10,0.005071859583458434,0.005442559759383305,10.902198372902708,12.857482494070313,13.25029573713954,13.359288535174748,0.6213942307692307,0.5438701923076923,0.5282451923076923,0.5240384615384616,0.5543870192307692
11,0.005010752837321522,0.005562240441437238,11.116059856786633,12.932911372076669,13.264337992486976,13.25794861461201,0.6105769230769231,0.5354567307692307,0.5252403846153846,0.5258413461538461,0.5492788461538461
