epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.004975105272430294,0.003940222827209668,7.115807321494793,9.120417385764494,9.663464774137651,10.22520437411935,0.7192234848484849,0.6278409090909091,0.5956439393939394,0.571969696969697,0.6286695075757576
2,0.0042969310422480665,0.003860647324472666,6.982958166831188,9.257671570321117,10.010637372827235,10.409218572599386,0.7144886363636364,0.6174242424242424,0.5776515151515151,0.5596590909090909,0.6173058712121212
3,0.004258868615933747,0.003950490549234955,7.115253984823731,9.091196863849504,9.954167160724039,10.437248450140837,0.7102272727272727,0.6164772727272727,0.578125,0.5544507575757576,0.6148200757575757
4,0.004220014888933807,0.003877902809163612,6.969222088097864,8.979069132780388,9.862456476880912,10.403498402450134,0.7159090909090909,0.6273674242424242,0.5800189393939394,0.553030303030303,0.6190814393939394
5,0.0041821439785636825,0.004168177238721965,6.981323192426623,9.111918256709455,9.840297990968637,10.358204766966706,0.7149621212121212,0.6145833333333334,0.5767045454545454,0.5582386363636364,0.6161221590909091
6,0.004146262526266136,0.0038630914853208446,6.8851976010680636,8.877647591915881,9.740004294576492,10.169545854262752,0.7140151515151515,0.6207386363636364,0.5823863636363636,0.5582386363636364,0.6188446969696969
7,0.004098022908745509,0.004087187258075132,6.987717975668395,8.97620760043043,9.971543384733058,10.42365349035404,0.7140151515151515,0.6197916666666666,0.5696022727272727,0.5492424242424242,0.6131628787878788
8,0.004049670154685682,0.004244829231703823,7.294060732310613,10.07345100467567,11.109925891024645,11.701914312318682,0.6974431818181818,0.5582386363636364,0.5165719696969697,0.4910037878787879,0.5658143939393939
9,0.00398341570295534,0.004003987982728038,6.935530328253981,9.232655657483635,10.21770315157108,10.648646079778667,0.7140151515151515,0.6074810606060606,0.5568181818181818,0.5426136363636364,0.6052320075757575
10,0.0039166812043426175,0.004106576448645104,7.1974546562512565,9.09475200329142,10.24303713208364,10.489006057361804,0.6998106060606061,0.6060606060606061,0.5520833333333334,0.5416666666666666,0.599905303030303
11,0.0038382926131686514,0.004096270919862119,7.312507964435113,9.44406032579593,10.309348278858899,10.674062335221194,0.693655303030303,0.5909090909090909,0.5516098484848485,0.5369318181818182,0.5932765151515152
12,0.0037596531841411905,0.00405176425225694,6.931348440621261,9.279980605794181,10.42585839270788,10.975869055534778,0.712594696969697,0.6003787878787878,0.5497159090909091,0.5208333333333334,0.5958806818181819
