epoch,train_loss,train_peak_dist_mean,train_psr_agg,epoch_seconds
1,0.006245685909793585,10.489308495159714,0.5741571576763486,175.16782879829407
2,0.005415899348271338,9.496464370200005,0.5951828319502075,175.17772936820984
3,0.005354219785972626,9.350883454890148,0.5996952800829876,175.3990375995636
4,0.005295659977115722,9.247623330507729,0.6034232365145228,175.50744485855103
5,0.005238739526115698,9.129557908075743,0.6100752074688797,187.1433973312378
6,0.005166542856022716,9.008038502206317,0.6156833506224066,206.7662456035614
7,0.0050809646185673,8.853666120487999,0.6244424273858922,175.61459684371948
8,0.004986176116167881,8.6374612761891,0.6337072095435684,175.49302864074707
9,0.004880668540365406,8.425854712404128,0.6439704356846474,175.53232645988464
10,0.004765349674073369,8.20580093772061,0.6531055497925311,267.8412935733795
11,0.004670975830490968,8.031272012442008,0.6633363589211618,286.5498797893524
12,0.004583569011106098,7.863502252352394,0.6712461099585063,293.7727038860321
13,0.004497120057762102,7.6723248651569405,0.6804136410788382,285.0864429473877
14,0.004435840751627978,7.552303187760305,0.6854123443983402,286.5592324733734
15,0.004352610459728978,7.420857009975849,0.6919800311203319,293.78991889953613
16,0.004292683017776344,7.280412183241013,0.6986514522821577,186.4573619365692
17,0.004235825161700798,7.201735479396653,0.7025609439834025,175.6300504207611
18,0.004165427100408003,7.064168238569774,0.7099974066390042,175.4624581336975
19,0.004110943247985358,6.93661103000273,0.7158778526970954,175.70494484901428
20,0.004055526282414176,6.821310374863586,0.7212266597510374,175.51345324516296
21,0.0039900080930766225,6.753763862338541,0.7243840767634855,175.5241825580597
22,0.003922978493373423,6.600259636443078,0.7316195539419087,175.7430398464203
23,0.003860728645743609,6.491346140889609,0.7371304460580913,175.60661458969116
24,0.0038143205900842718,6.431761575737623,0.7397691908713693,175.76214504241943
25,0.0037671397702915294,6.349310276212775,0.7442816390041493,175.70153093338013
26,0.0037044787354365426,6.246756582561536,0.7492738589211618,175.60002541542053
27,0.0036662610238070185,6.141860534452451,0.7529758817427386,175.84823036193848
28,0.003612801228182321,6.084302186377194,0.7565287863070539,175.80017495155334
29,0.003559132723361872,5.971944981018361,0.762136929460581,175.37213969230652
30,0.0035166919411109814,5.894143259945233,0.7655082987551867,175.30982065200806
31,0.003472466750603741,5.8116431979178325,0.7695280082987551,175.2436752319336
32,0.0034278997026878522,5.762435893709801,0.7730160788381742,175.42621040344238
33,0.0033732997851554473,5.644839468622736,0.7777748962655602,175.25880765914917
34,0.003326217850469269,5.5654696843673594,0.7817557053941908,175.2913794517517
35,0.00325376587722806,5.449635442220989,0.7873054979253112,175.37258100509644
36,0.0032156019382704342,5.375852276159984,0.7906314834024897,175.4517011642456
37,0.003164956977405427,5.273565623253997,0.7952930497925311,175.460351228714
38,0.0031152342592995937,5.2086238586323885,0.799098807053942,175.45831942558289
39,0.0030435392239876865,5.0795734386729885,0.8051867219917013,175.4946346282959
40,0.002979518007100618,4.980216069510594,0.8096667531120332,175.4703516960144
41,0.0029561013105051026,4.905943080115694,0.812934387966805,175.48686027526855
42,0.0028888297227647975,4.820631715295708,0.8172847510373444,175.46845197677612
43,0.0028224869685332557,4.691196221861553,0.8231522302904564,175.44104933738708
44,0.0027900630582116267,4.6336317777593745,0.825641856846473,175.65312314033508
45,0.0027322566348294192,4.550116919473366,0.8299209024896266,175.471111536026
46,0.0026735432777376033,4.438619158427877,0.8354253112033195,175.51381182670593
47,0.0026282715312634206,4.3703340883184785,0.8390495331950207,175.27306747436523
48,0.0025933244359327857,4.284881362983907,0.8428747406639004,175.44030666351318
49,0.0025323746708527024,4.190698323032729,0.8474196058091287,175.5603814125061
50,0.0024802508699240094,4.118375073420952,0.85069372406639,175.39362502098083
51,0.0024361517682238735,4.04447762940644,0.854408713692946,175.41805386543274
52,0.0023719989609637944,3.9386299994625267,0.8598936721991701,175.6416940689087
53,0.0023203495350817057,3.882632756850442,0.8634660269709543,175.96903467178345
54,0.002291943476906363,3.833220156645177,0.865955653526971,175.44807076454163
55,0.002253330528882962,3.7793078598006393,0.8677126556016599,175.47622776031494
56,0.00218777154297935,3.6656333828631875,0.8736773858921161,175.42050909996033
57,0.002156187394340194,3.5928220036924197,0.8771460062240664,175.66180896759033
58,0.0021382085243781017,3.5913932577756804,0.8778721473029045,175.56223320960999
59,0.002081774516684231,3.4720751005949024,0.8821706431535269,175.46219849586487
60,0.0020469503022181603,3.4261071970442396,0.8859569502074689,175.4673674106598
61,0.0020114228966031456,3.3839959997441946,0.8871434128630705,175.48113679885864
62,0.001982972812761564,3.348557291836894,0.8884984439834025,175.59696674346924
63,0.001919698843701561,3.229015653161371,0.8942038381742738,175.45088028907776
64,0.0018882294017357822,3.2081862746204663,0.8955523858921163,175.3812611103058
65,0.0018674757807898138,3.1829588823689443,0.8969463174273858,175.50748801231384
66,0.0018467891340132386,3.145504661814469,0.8985671680497925,175.55658555030823
67,0.0018204227627034752,3.0725787313690223,0.9011540456431535,175.4193389415741
68,0.0018064664928938159,3.069924408058805,0.902048755186722,187.82711577415466
69,0.0017727514243920438,3.0401988961655544,0.9039483921161826,175.44348335266113
70,0.0017378416456305325,2.9866782826248532,0.906230549792531,175.42689895629883
71,0.0017311775331342925,3.00274756593478,0.906353734439834,175.44994401931763
72,0.0016836866173174433,2.9051389282160285,0.9096797199170124,175.48646068572998
73,0.0016697854794372508,2.8961653911353973,0.9103021265560165,175.5407166481018
74,0.0016367954795183113,2.858703048862063,0.9122795643153526,175.49570393562317
75,0.00164196722903115,2.8710947723471247,0.9117090248962655,175.55476689338684
76,0.0016182161911093163,2.818388477106164,0.9140884336099584,175.3459267616272
77,0.0015911136060678768,2.7728389314041015,0.9158130186721991,175.37335062026978
78,0.0015721120083747099,2.7688579063429946,0.9166104771784231,175.52477860450745
79,0.0015585346255138424,2.740209379992197,0.9181211099585062,175.34733867645264
80,0.0015191646103449629,2.6816079045396823,0.920208765560166,175.39624309539795
81,0.0015286697600813606,2.7011088935292014,0.9202671161825725,175.45049619674683
82,0.0015215109577750268,2.691589627214873,0.9207728215767635,175.35824751853943
83,0.0014856599641314618,2.6537440640244956,0.9223482883817428,175.33198595046997
84,0.001451157013348524,2.578326138768163,0.9256288900414937,175.3686866760254
85,0.0014497913937065055,2.614282544779034,0.923489367219917,175.5634732246399
