epoch,lr,decay_count,train_loss,val_loss,val_peak_dist_t1,val_peak_dist_t2,val_peak_dist_t3,val_peak_dist_t4,val_psr_k5_5_t1,val_psr_k5_5_t2,val_psr_k5_5_t3,val_psr_k5_5_t4,val_peak_dist_mean,val_psr_aggregate,epoch_seconds
1,0.001,0,0.008051245966150115,0.0035588431637734175,5.812760488443289,6.373542952348296,6.8790995546333855,7.44989107842883,0.7725694444444444,0.7430555555555556,0.7152777777777778,0.6892361111111112,6.6288235184634505,0.7300347222222222,52.172091245651245
2,0.001,0,0.0037715285046336553,0.0039131792533832295,5.64221066301806,6.256398517014149,6.769276264349009,7.338811651851373,0.7760416666666666,0.7413194444444444,0.7170138888888888,0.6927083333333334,6.501674274058148,0.7317708333333334,51.68695950508118
3,0.001,0,0.0036373545868425734,0.0033692579147302443,5.603236194255089,6.278251262632179,6.643275105526451,7.178597236919237,0.7777777777777778,0.7430555555555556,0.7274305555555556,0.7013888888888888,6.4258399498332395,0.7374131944444445,51.776055574417114
4,0.001,0,0.003565054739980648,0.0033620285167772737,5.359078857617522,6.148848569088219,6.516843213317092,7.066476506425974,0.7881944444444444,0.7517361111111112,0.7309027777777778,0.703125,6.272811786612202,0.7434895833333334,51.83142137527466
5,0.001,0,0.0035290242586698797,0.003323240309125847,5.3476098875373985,6.087069044863252,6.618114093636071,7.000090065882919,0.7881944444444444,0.75,0.7222222222222222,0.7065972222222222,6.26322077297991,0.7417534722222222,51.838151693344116
6,0.001,0,0.0035164935307370293,0.003347413232808726,5.754594996833453,6.238919473325153,6.615440437392871,6.9921253423294925,0.7708333333333334,0.7465277777777778,0.734375,0.7118055555555556,6.400270062470243,0.7408854166666667,51.85422086715698
7,0.001,0,0.00347738017509174,0.003295942998698188,5.502984799465388,6.306087821538715,6.6860638081135635,7.109592127749389,0.7829861111111112,0.7395833333333334,0.7222222222222222,0.6996527777777778,6.401182139216763,0.7361111111111112,51.87898564338684
8,0.001,0,0.003443983834909482,0.003404935091061311,5.664833090896122,6.450514693871022,6.967781170501599,7.566307775230644,0.7725694444444444,0.7326388888888888,0.7048611111111112,0.6666666666666666,6.662359182624847,0.7191840277777778,51.9511353969574
9,0.0005,1,0.00332902384430377,0.003365487306534002,5.4549134635141865,6.293323666100703,6.432162051468448,7.184963836560237,0.7829861111111112,0.7413194444444444,0.7361111111111112,0.6961805555555556,6.3413407544108935,0.7391493055555556,51.980735063552856
10,0.0005,1,0.003247778098254154,0.0034436415622217786,5.701836624495615,6.055549702595227,6.596534850623829,7.110179699971024,0.7708333333333334,0.75,0.7222222222222222,0.6979166666666666,6.366025219421424,0.7352430555555556,52.02444791793823
11,0.0005,1,0.003132941982605391,0.0036150753860258395,5.609353388406272,6.96762019190026,7.643506761751557,8.005706170945906,0.7760416666666666,0.7118055555555556,0.6805555555555556,0.6579861111111112,7.056546628250999,0.7065972222222222,52.0027174949646
12,0.00025,2,0.002911461529503059,0.0036547428462654352,5.826755792219093,7.472478266056783,8.026248736119944,8.409850160598374,0.7673611111111112,0.6875,0.6614583333333334,0.6458333333333334,7.433833238748548,0.6905381944444445,52.00895929336548
13,0.00025,2,0.002681516108310057,0.003677891412129005,5.656540950778652,7.3501634759539725,8.29844993690956,8.501996572995024,0.7777777777777778,0.6909722222222222,0.65625,0.6354166666666666,7.451787734159302,0.6901041666666666,52.0169620513916
14,0.00025,2,0.002484749970285015,0.00374860032590934,5.789404117631268,7.379337906335857,8.264065479579635,8.534370421084406,0.765625,0.6909722222222222,0.6493055555555556,0.6336805555555556,7.4917944811577915,0.6848958333333333,52.00762414932251
15,0.000125,3,0.00225282511415167,0.0038611068739555776,5.942432776782634,7.311393372971657,8.281573107138335,8.734046808222741,0.7586805555555556,0.6927083333333334,0.6493055555555556,0.6180555555555556,7.567361516278842,0.6796875,52.02034592628479
16,0.000125,3,0.002126526647609555,0.0039737042712254655,5.947192552859614,7.747029105638804,8.509045404025557,8.797960511762765,0.7604166666666666,0.6753472222222222,0.6336805555555556,0.625,7.750306893571684,0.6736111111111112,52.009461879730225
17,0.000125,3,0.002018179016886279,0.004078459563768572,6.020287056296567,8.015228207605489,8.546239136304202,9.21026538206243,0.7586805555555556,0.6631944444444444,0.6371527777777778,0.6076388888888888,7.948004945567172,0.6666666666666666,52.02043318748474
