epoch,lr,decay_count,train_loss,chat_peak_dist_mean,chat_psr_agg,wordwolfexp_peak_dist_mean,wordwolfexp_psr_agg,grpmtg_peak_dist_mean,grpmtg_psr_agg,overall_peak_dist_mean,epoch_seconds
1,0.001,0,0.005204452731490694,6.409870496952268,0.7376644736842105,9.367096134596423,0.6832540760869564,7.53023277720645,0.5824844613259668,7.769066469585048,544.4295325279236
2,0.001,0,0.004851859344589003,6.2944811302314685,0.738075657894737,9.498940106385339,0.6808763586956521,7.41153687828013,0.593232044198895,7.73498603829898,543.8700363636017
3,0.001,0,0.004806014725393287,6.371530837147792,0.7384868421052632,9.225245440914737,0.6774796195652173,7.246206297528032,0.5976778314917126,7.614327525196853,544.6163139343262
4,0.001,0,0.004773239153762971,6.202266411749645,0.7483552631578948,9.235505827877947,0.6827445652173914,7.853673704665243,0.5823549723756906,7.763815314764279,545.042974948883
5,0.001,0,0.004752821670750275,6.161731822235715,0.746299342105263,9.158621564940807,0.6858016304347826,7.420940481502653,0.5928435773480663,7.580431289559724,546.5475432872772
6,0.001,0,0.004734492287440287,6.36031585605988,0.7384868421052632,9.346924497609223,0.6725543478260869,7.690540985510323,0.5829592541436464,7.799260446393141,544.6545026302338
7,0.001,0,0.004714911614428274,6.150380404335324,0.7454769736842105,9.120380294460912,0.6825747282608695,7.475178031534131,0.5901243093922652,7.581979576776789,545.8995678424835
8,0.001,0,0.004697837936397055,6.161920763198211,0.75,9.122695990353186,0.6841032608695653,7.147627611039099,0.5978936464088398,7.477414788196832,544.7075393199921
9,0.001,0,0.004680816248769047,6.124850276106352,0.7491776315789473,9.280351988262911,0.6761209239130435,7.4990334839008606,0.5950448895027625,7.634745249423375,546.1223888397217
10,0.001,0,0.004664237817222691,6.23274756812371,0.7425986842105263,9.05185801769514,0.6864809782608696,7.554088068106877,0.5820528314917127,7.612897884641909,546.2182643413544
11,0.001,0,0.004646017429168082,6.119088969548254,0.7467105263157895,9.098677472895583,0.6854619565217391,7.199305675033146,0.5912033839779005,7.4723573724923265,546.1006569862366
12,0.001,0,0.004629064169838011,6.165573251647354,0.7475328947368421,9.204506843205118,0.6786684782608695,7.5449777417444945,0.5863259668508287,7.638352612198989,545.9946162700653
13,0.001,0,0.004609190908838617,6.147592159177955,0.7442434210526315,9.201102335859824,0.6781589673913043,7.426153727974633,0.5898653314917127,7.5916160743374705,544.6733088493347
14,0.001,0,0.004593659493106003,6.309895915444276,0.7409539473684211,9.312772474375492,0.6745923913043478,7.507152087045746,0.5813190607734806,7.709940158955171,545.5594022274017
15,0.0005,1,0.004497536744690082,6.261004872939219,0.743421052631579,9.380740057389618,0.6689877717391304,7.465430681552134,0.5794198895027625,7.7023918706269905,543.9321284294128
16,0.0005,1,0.004444824002869325,6.363928061523476,0.7339638157894737,9.41934573735258,0.6691576086956523,7.662301906942688,0.5683701657458564,7.815191901939581,542.48530626297
17,0.0005,1,0.004409162229245492,6.333139409033717,0.7360197368421053,9.486518473610772,0.665421195652174,7.741810798309594,0.5618525552486188,7.853822893651361,544.2329108715057
18,0.00025,2,0.004318833318249208,6.420989235774415,0.7310855263157895,9.442436099354278,0.6715353260869565,8.089458949382344,0.533753453038674,7.984294761503679,545.4440352916718
19,0.00025,2,0.004275066734408028,6.461691787258502,0.7294407894736843,9.92005571733322,0.6452105978260869,7.805060498376086,0.5526588397790055,8.062269334322602,544.4537351131439
20,0.00025,2,0.004235203448418397,6.688060280463527,0.7154605263157895,9.757729492640781,0.6535326086956521,7.653294320574414,0.5636654005524863,8.033028031226241,543.7073602676392
21,0.000125,3,0.004168335871595586,6.740610128839883,0.7158717105263158,10.37904160436046,0.6256793478260869,7.800827706960765,0.553133632596685,8.306826480053703,545.3967368602753
22,0.000125,3,0.004134858063191877,6.821704351669701,0.7121710526315789,9.914369222242989,0.6520040760869565,7.854268906415708,0.5482562154696132,8.196780826776132,543.792510509491
23,0.000125,3,0.004104088735202582,6.923006234063416,0.7076480263157894,10.183134123261627,0.6387567934782609,7.77554526125675,0.558529005524862,8.29389520619393,542.7571449279785
