epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.007040438346566226,0.005413312182869189,10.516747045732693,12.724552124789941,13.024303305636453,13.40731582234622,0.6382211538461539,0.5697115384615384,0.5462740384615384,0.5294471153846154,0.5709134615384616
2,0.0043616192449944455,0.005316864443907084,10.387269500496437,12.835880902922327,13.328733082850627,13.388640369122964,0.6430288461538461,0.5516826923076923,0.5330528846153846,0.5240384615384616,0.5629507211538461
3,0.004251710084420603,0.005405119284450148,10.853693504819072,12.86130755742078,13.386515387296761,13.559124609008576,0.6328125,0.5528846153846154,0.5258413461538461,0.5228365384615384,0.55859375
4,0.004201306259162007,0.00527878257428081,10.152519227754594,12.501090124198972,13.040393351418905,13.442966873771999,0.6430288461538461,0.5637019230769231,0.5384615384615384,0.5216346153846154,0.5667067307692307
5,0.004163464144282946,0.0054854036246139845,11.64691166736669,13.302290270208628,13.456835763170691,13.402494138635566,0.5979567307692307,0.5282451923076923,0.5198317307692307,0.5198317307692307,0.5414663461538461
6,0.0041247993686540085,0.005575259153444607,12.234716796614018,13.449069681604335,13.428206711902483,13.473763933434324,0.5769230769230769,0.5216346153846154,0.5198317307692307,0.5174278846153846,0.5339543269230769
7,0.004082020828893599,0.005549075628200976,11.395972098016966,13.071098878515857,13.421500605342734,13.4033242629591,0.6045673076923077,0.5378605769230769,0.5240384615384616,0.5210336538461539,0.546875
8,0.00403161298416619,0.00555534371568893,11.817284221120904,13.454895853207175,13.55121889749632,13.519746669340151,0.5901442307692307,0.5222355769230769,0.5174278846153846,0.5174278846153846,0.5368088942307692
9,0.003960732112844723,0.005470884614624083,10.613148068738788,12.881895411067775,13.383441036393581,13.543713439648444,0.6358173076923077,0.5456730769230769,0.5240384615384616,0.5174278846153846,0.5557391826923077
10,0.0038677282542925245,0.005795810711928285,11.929675978018297,13.383594015837188,13.529029559063778,13.628993638232943,0.5883413461538461,0.5258413461538461,0.5138221153846154,0.5108173076923077,0.5347055288461539
11,0.0037643500599002376,0.006056524956455598,12.095043108506049,13.784212741832338,14.183510236309456,13.85672039168824,0.5757211538461539,0.5042067307692307,0.48497596153846156,0.4951923076923077,0.5150240384615385
12,0.0036513361158002347,0.006179053994576232,12.707017340538705,13.603141442309578,13.789460712074863,13.804456117797915,0.5552884615384616,0.5138221153846154,0.5012019230769231,0.5018028846153846,0.5180288461538463
13,0.00353356292875421,0.005972373532131314,11.599359355929408,13.202466526400965,13.6594184682529,13.951164687028303,0.5985576923076923,0.5276442307692307,0.5126201923076923,0.5,0.5347055288461537
14,0.003430889955626406,0.005949371588380577,11.378815086390242,13.648052640528284,14.115010786350618,13.717018338549163,0.5973557692307693,0.5054086538461539,0.4855769230769231,0.5060096153846154,0.5235877403846154
