epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate,test_pred_peak_mass_t1,test_pred_peak_mass_t2,test_pred_peak_mass_t3,test_pred_peak_mass_t4,test_pred_entropy_t1,test_pred_entropy_t2,test_pred_entropy_t3,test_pred_entropy_t4,test_target_peak_mass_t1,test_target_peak_mass_t2,test_target_peak_mass_t3,test_target_peak_mass_t4,test_target_entropy_t1,test_target_entropy_t2,test_target_entropy_t3,test_target_entropy_t4
1,6.268359138685114,6.1937315464019775,11.73554175886793,12.531563582519679,11.220062249239533,11.798546548364415,0.6599431818181818,0.659375,0.659375,0.6590909090909091,0.6594460227272727,0.0123579221180451,0.011829745287315039,0.01134294894024049,0.011665106474829883,6.2287859646668835,6.329528995662679,6.334238201336753,6.315868122840074,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
2,6.152088689453461,6.21120119528337,10.383343735532156,11.106324126123372,11.107748315899443,11.036925038828464,0.6772727272727272,0.6528409090909091,0.6514204545454545,0.6525568181818182,0.6585227272727272,0.01464312909800701,0.014111412516057274,0.01451780318378469,0.014250579658922862,5.97455337232219,6.047213534935974,6.052288663407326,6.0859121665926965,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
3,6.125128002727733,6.186271498420021,10.167100931725013,10.80399500152403,10.834262772193197,10.868181598160744,0.6798295454545454,0.6596590909090909,0.6528409090909091,0.6548295454545454,0.6617897727272727,0.012328809960961236,0.01211748653420124,0.011864371481683417,0.011743739017123818,6.0513902940002335,6.126948132125405,6.177050847052652,6.213891664662694,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
4,6.102059304714203,6.18525523705916,10.006472156278104,10.409764169516238,10.484410159495138,10.417461786541105,0.6761363636363636,0.6571022727272727,0.6545454545454545,0.6568181818181819,0.6611505681818182,0.013324704542179737,0.013084895749152567,0.013075430225397103,0.013073111075543046,6.060910457322499,6.134211887930299,6.157233822159228,6.164963641209302,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
5,6.083355907131644,6.201229039105502,9.679668256473441,10.33467412489803,10.52191115934684,10.454620123455758,0.6801136363636363,0.6565340909090909,0.6485795454545454,0.6525568181818182,0.6594460227272727,0.013514141954222658,0.013534509151560412,0.013610603492132393,0.013671048503173277,6.015391752255262,6.043774936313439,6.0430712054130025,6.052808841828616,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
6,6.054559462210712,6.215301652388139,10.119304492703312,10.914995989051468,11.1589857694887,11.22066457162128,0.6769886363636364,0.6465909090909091,0.6417613636363636,0.6409090909090909,0.6515625,0.014629978991116151,0.014163539897012148,0.01398409261428495,0.01394932816781525,5.941386207576872,6.015035018075971,6.058057597460319,6.076869009207819,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
7,6.021759457447949,6.277619114789096,10.18961734615444,10.608612278571707,10.92825009038629,10.922027006209511,0.6610795454545455,0.646875,0.6366477272727272,0.6372159090909091,0.6454545454545455,0.015667643931290397,0.015213946741048161,0.014982881933977394,0.015101169316273639,5.8764904591131,5.925848507103241,5.95072473989068,5.950721338497874,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
8,5.966585890335195,6.311129392277111,10.27347209549704,11.518837018996038,11.762039361078296,11.988606694570912,0.6667613636363636,0.6224431818181818,0.6167613636363637,0.6076704545454545,0.6284090909090909,0.016172042526841873,0.015832189858763578,0.015798246161568587,0.015514995631686616,5.856853074429472,5.918105360457458,5.92775667178418,5.971621296186508,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
9,5.922415416030323,6.325894238732078,10.393284268153925,10.808153464691554,11.1750741822317,11.076321026122603,0.6556818181818181,0.6392045454545454,0.6261363636363636,0.6321022727272727,0.6382812499999999,0.015316740740016876,0.01513705108813052,0.01478519328155319,0.01459143305746139,5.928043787941045,5.959603713896369,6.00026805630144,6.043633355420018,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
10,5.874283506589777,6.35886833451011,10.320558882184175,10.98791442653802,11.424495056842792,11.387483863904706,0.6713068181818181,0.6454545454545455,0.6261363636363636,0.6309659090909091,0.6434659090909091,0.016989179286924182,0.016622428284018952,0.016138502628121398,0.015699039035976216,5.6434553213084175,5.705875697225842,5.74612879488707,5.808026677193801,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
11,5.841644313405542,6.424316974119707,10.323182195617823,10.586304497240288,11.028574876378459,10.947989476352566,0.6571022727272727,0.6434659090909091,0.6278409090909091,0.631534090909091,0.6399857954545454,0.016253639373591162,0.0168530902224339,0.016625671448156524,0.015710191881310166,5.856253492514486,5.7905749106818,5.797450966300339,5.894898827551798,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
12,5.81494358532569,6.50977631482211,10.70152583964354,10.90777079722995,11.156284515094272,11.515488976447612,0.6610795454545455,0.646875,0.6380681818181818,0.6423295454545455,0.6470880681818183,0.014469875995501015,0.01534917668979705,0.015437007400925346,0.014667481054342369,5.864921854952447,5.74433759157132,5.714721588045433,5.862237756099271,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
13,5.796002526493633,6.439736587351018,10.298186179661585,10.906310268399917,11.054551086208082,11.062096063673936,0.6602272727272728,0.6386363636363637,0.6349431818181818,0.6417613636363636,0.6438920454545454,0.016092966546303857,0.016784629648590673,0.01701290775870889,0.016351898323850995,5.78338551364616,5.711588153664371,5.688491451644368,5.778103771762947,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
14,5.7768560981049255,6.503139911998402,10.746868734904739,11.273486407893246,11.419399307952217,11.969147984007954,0.6508522727272728,0.6303977272727272,0.6264204545454546,0.6113636363636363,0.6297585227272727,0.016127694035796978,0.017328499442670706,0.01743371802691129,0.01574249733461222,5.768392437565482,5.647608255567721,5.672154963807095,5.849685792550923,0.018429197776386807,0.018424770346091288,0.018423637714065414,0.018423816452891463,5.296213037578711,5.297238770123551,5.297650575847171,5.298349458245285
