epoch,train_loss,test_loss,test_peak_dist_t2,test_psr_k5_5_t2,test_peak_dist_mean,test_psr_aggregate
1,0.005631360956243573,0.006012213186775224,9.735421649261472,0.6643700787401575,9.735421649261472,0.6643700787401575
2,0.0044270366460475875,0.005909619233699325,10.285057444336768,0.6535433070866141,10.285057444336768,0.6535433070866141
3,0.004372007585968573,0.005878221561699578,9.841154041571,0.6648622047244095,9.841154041571,0.6648622047244095
4,0.0043278872295355,0.005904027159549442,9.760622885129246,0.6624015748031497,9.760622885129246,0.6624015748031497
5,0.004293730223481668,0.005872922240917783,9.665347422417748,0.6594488188976378,9.665347422417748,0.6594488188976378
6,0.004241857818392589,0.00582903620693466,9.709315680524083,0.6638779527559056,9.709315680524083,0.6638779527559056
7,0.004182957208349325,0.006113438772616952,10.166463265849888,0.6496062992125984,10.166463265849888,0.6496062992125984
8,0.004101666245692943,0.006133332818299238,10.175619371706738,0.6476377952755905,10.175619371706738,0.6476377952755905
9,0.003973111970957747,0.0059601463552557046,10.190291806837484,0.6456692913385826,10.190291806837484,0.6456692913385826
10,0.0037978104601133576,0.006449073841831992,10.651707276990832,0.6205708661417323,10.651707276990832,0.6205708661417323
11,0.0035562523940134852,0.006650999317671664,10.841620494085147,0.6215551181102362,10.841620494085147,0.6215551181102362
12,0.0032492090518683454,0.006968460776788131,10.733805391489254,0.6161417322834646,10.733805391489254,0.6161417322834646
13,0.0029582597910150147,0.0067149279304545405,10.628140791902887,0.6284448818897638,10.628140791902887,0.6284448818897638
14,0.002687912626471495,0.006640198107031504,10.889937056905861,0.625492125984252,10.889937056905861,0.625492125984252
15,0.0024268041024940777,0.008150256180670112,11.8227306138671,0.5743110236220472,11.8227306138671,0.5743110236220472
