epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.23259406261022578,0.19706354564742037,30.98705753373181,30.81489365492889,27.99624580751021,23.674479412180123,0.0,0.0,0.0,0.0,0.0
2,0.1641851047784584,0.12891240025821485,35.62082081414267,33.82753338228037,39.42744920249401,38.243628517551265,0.0,0.0,0.0,0.0,0.0
3,0.10223965145112401,0.07952294733963515,39.47900659806298,35.05126191362804,44.405258095990554,44.15984177474653,0.0,0.0,0.0,0.0,0.0
4,0.06544509791455216,0.05379699249016611,47.09158922936314,43.38429601721226,47.009917373370484,46.938598342256626,0.0,0.0,0.0,0.0,0.0
5,0.04691525091782459,0.040769884264782855,45.87397238702728,43.418470729011204,43.692899874595284,46.938598342256626,0.0,0.0,0.0,0.0,0.0
6,0.036856322698500935,0.033042384605658684,44.92792303606202,43.418470729011204,43.496054054692515,46.938598342256626,0.0,0.0,0.0,0.0,0.0
7,0.030536315110589258,0.02789643877430966,44.92792303606202,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
8,0.026174565087695147,0.024221276472273626,44.92792303606202,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
9,0.022986696714031103,0.02146510436738792,44.92792303606202,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
10,0.020553084388786915,0.019321383320187267,44.92792303606202,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
11,0.01863326744603518,0.017606900416706737,44.92792303606202,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
12,0.017076974940481108,0.0161987376938525,43.424659798029985,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
13,0.015788507405977224,0.015021022703302534,43.424659798029985,43.418470729011204,43.496054054692515,43.56908303932627,0.0,0.0,0.0,0.0,0.0
14,0.014697559116130375,0.014012564512851992,43.424659798029985,43.418470729011204,43.496054054692515,43.56908303932627,0.12006578947368421,0.05592105263157895,0.013157894736842105,0.0,0.047286184210526314
15,0.013754147110064386,0.013137081245842733,43.424659798029985,43.418470729011204,43.496054054692515,43.56908303932627,0.4934210526315789,0.3684210526315789,0.23684210526315788,0.07401315789473684,0.29317434210526316
