epoch,lr,decay_count,train_loss,chat_peak_dist_mean,chat_psr_agg,wordwolfexp_peak_dist_mean,wordwolfexp_psr_agg,grpmtg_peak_dist_mean,grpmtg_psr_agg,overall_peak_dist_mean,epoch_seconds
1,0.001,0,0.005046983056720695,6.496873146929664,0.7376644736842106,9.194701065055375,0.6773097826086957,7.07107435829837,0.6106698895027625,7.587549523427803,542.1433951854706
2,0.001,0,0.004723510151448975,6.252048386129716,0.7388980263157895,9.155176295458702,0.6839334239130435,6.895010161340739,0.6114036602209945,7.434078280976386,543.2116208076477
3,0.001,0,0.004667901451376857,6.325823641215449,0.7413651315789475,9.239488379877008,0.6795176630434783,7.059134263526948,0.6055334944751382,7.5414820948731345,542.2537724971771
4,0.001,0,0.004621534903573758,6.31409841720682,0.7397203947368421,9.077579335508123,0.685631793478261,7.148883025256836,0.5967714088397791,7.513520259323926,541.8784987926483
5,0.001,0,0.004576961287245511,6.287015893259821,0.743421052631579,9.2730147876022,0.6756114130434783,7.040924240809361,0.6011308701657458,7.533651640557127,541.9480059146881
6,0.0005,1,0.004441971705684393,6.193450349126922,0.744654605263158,9.105990763285703,0.6861413043478262,7.1979915011797715,0.5934478591160222,7.4991442045308,541.9771513938904
7,0.0005,1,0.004339453835865495,6.253356089288745,0.739720394736842,9.61625940766746,0.6635529891304348,7.6080504830558935,0.5729022790055249,7.825888660004033,542.3990862369537
8,0.0005,1,0.004256523255756769,6.222362277291992,0.740953947368421,9.478374437788416,0.6698369565217392,7.635099362454643,0.5677658839779006,7.778612025845017,542.8342506885529
9,0.00025,2,0.0040682988177978795,6.40474283765618,0.7351973684210527,9.928525686878233,0.6453804347826086,8.220487624650493,0.5279264502762431,8.184585383061636,542.2037930488586
10,0.00025,2,0.003946694686736025,6.955352067140967,0.7101151315789475,11.1768427538201,0.59765625,8.160646722500921,0.5385013812154696,8.76428051448733,542.6836349964142
11,0.00025,2,0.003852106334186684,7.387161949673656,0.6883223684210527,11.476639839361177,0.588485054347826,8.191217526807606,0.5337102900552486,9.01833977194748,542.77894282341
12,0.000125,3,0.0036849787483522094,7.226792006924715,0.6973684210526316,13.766081325593271,0.49813179347826086,8.234024286211126,0.5282717541436465,9.742299206243038,542.7869262695312
13,0.000125,3,0.0035921361894253948,7.4191879122175575,0.6870888157894738,12.070380620665164,0.5635190217391304,8.073790581040354,0.5396667817679558,9.187786371307693,542.1788487434387
14,0.000125,3,0.0035192622648785917,7.450839838254013,0.6850328947368421,12.115810948521066,0.5614809782608696,8.151833808759598,0.5369475138121547,9.239494865178225,542.2257232666016
