epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.003957426412730908,0.003286089172194663,5.280009727044738,6.109869076804072,6.3550406743300725,6.5856850631630115,0.7927631578947368,0.7467105263157895,0.7351973684210527,0.7236842105263158,0.7495888157894737
2,0.003491383921749868,0.003393747561954354,5.446659867928165,6.374447283627816,6.6953296988577975,7.132566232342752,0.7845394736842105,0.7368421052631579,0.7203947368421053,0.6957236842105263,0.734375
3,0.0032910098806289106,0.0035545817747908203,5.578047900090852,6.79863033085923,7.626549397663364,7.759901091801671,0.7796052631578947,0.7203947368421053,0.6726973684210527,0.6661184210526315,0.709703947368421
4,0.0030832617019939004,0.003607436499901508,6.20795842540929,7.117691314571315,7.539050677972046,7.4599561166158725,0.7483552631578947,0.7006578947368421,0.680921052631579,0.6792763157894737,0.7023026315789473
