epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_peak_dist_mean,test_psr_aggregate
1,105.37845236425241,99.61836704454925,7.9043994355680764,9.332038406361946,9.182231965719799,10.03297767859061,0.78125,0.7302631578947368,0.7154605263157895,0.6776315789473685,9.112911871560108,0.7261513157894737
2,102.04513830111172,96.70529114572625,9.27823106918979,9.915663944476293,10.245095478386931,10.609486973323119,0.7894736842105263,0.7417763157894737,0.7203947368421053,0.6891447368421053,10.012119366344034,0.7351973684210527
3,100.13607379217832,97.44606319226716,8.878162135600219,9.70202784499246,9.805208968760338,10.375969088642124,0.787828947368421,0.7286184210526315,0.7088815789473685,0.649671052631579,9.690342009498785,0.71875
4,99.37606364719117,95.20838125128495,9.768212934873521,9.342146395521501,9.685945172255977,10.193099715569977,0.7911184210526315,0.7319078947368421,0.6907894736842105,0.6546052631578947,9.747351054555244,0.7171052631578947
5,97.80347497423709,96.46931417364823,9.721588609696814,9.753345246862622,10.150447050448625,10.30940617842356,0.7845394736842105,0.7302631578947368,0.6875,0.6611842105263158,9.983696771357906,0.7158717105263158
6,97.35730115353073,96.97077480115388,9.955574134334535,9.503004786805795,9.549965122105542,9.877310017014002,0.7911184210526315,0.7286184210526315,0.6973684210526315,0.6233552631578947,9.721463515064968,0.7101151315789473
7,96.04036204722705,95.11005843313117,9.72599982402897,9.727617399188649,10.012273347867247,9.925861409850679,0.6644736842105263,0.5592105263157895,0.5197368421052632,0.39473684210526316,9.847937995233886,0.5345394736842106
8,95.36846637198938,95.76136478624846,8.66790940538574,9.348261853289925,9.560825607477563,10.016178623913845,0.6924342105263158,0.45394736842105265,0.31414473684210525,0.31085526315789475,9.398293872516769,0.44284539473684215
9,94.00932771461444,96.0836565118087,8.66096296514457,9.127910203728632,9.57494231801685,9.80397144425026,0.7845394736842105,0.71875,0.6759868421052632,0.6546052631578947,9.291946732785078,0.7084703947368421
10,92.7038228366915,97.63046686272872,9.133100677807414,9.613037597893658,9.810068069187826,10.504035990636973,0.7730263157894737,0.6644736842105263,0.5115131578947368,0.40131578947368424,9.765060583881468,0.5875822368421052
11,90.78020251785195,96.18479036030017,9.056848923318558,9.41207658186838,10.093519902118436,10.464880061934949,0.7615131578947368,0.6414473684210527,0.3930921052631579,0.3026315789473684,9.756831367310081,0.524671052631579
