epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_peak_dist_mean,test_psr_aggregate
1,105.13783188287725,99.37501786884509,6.221619804522205,7.270919105497989,7.688245759822365,8.515227108030718,0.7631578947368421,0.7088815789473685,0.7023026315789473,0.6875,7.424002944468319,0.7154605263157895
2,101.72565203081837,98.31676503231651,6.294395476478569,6.9738754291887775,7.8734236692499335,8.279096576053282,0.756578947368421,0.6907894736842105,0.6101973684210527,0.6167763157894737,7.355197787742641,0.6685855263157894
3,99.70513486071845,96.55435481824372,6.271720971755757,8.088099253254855,8.634121368351652,9.080056930049773,0.4588815789473684,0.34210526315789475,0.03289473684210526,0.12006578947368421,8.01849963085301,0.23848684210526316
4,98.24225070595082,96.11530745656867,6.182718246365983,7.775008447910079,8.85613450053331,9.190210594995289,0.6266447368421053,0.17763157894736842,0.06743421052631579,0.11677631578947369,8.001017947451164,0.2471217105263158
5,97.06432194999569,96.49680529142681,6.317598969156642,7.763272234781593,8.585675809070043,8.984319991682007,0.631578947368421,0.38651315789473684,0.15296052631578946,0.14473684210526316,7.912716751172571,0.32894736842105265
6,96.0815426315392,96.2251390155993,6.0206837013483785,7.668649917081262,8.387588359944795,8.656349617669777,0.7302631578947368,0.5657894736842105,0.24177631578947367,0.2911184210526316,7.683317899011053,0.45723684210526316
7,94.35186112124617,100.7840018021433,7.324648765194529,9.107630849706885,9.458889024328819,9.416763510083847,0.4161184210526316,0.16776315789473684,0.08881578947368421,0.09539473684210527,8.826983037328521,0.19202302631578946
8,93.01592985964612,98.57827457628753,6.158280795145049,8.307087469708186,8.709455533145816,9.501149276023975,0.7055921052631579,0.5460526315789473,0.3667763157894737,0.3881578947368421,8.168993268505757,0.5016447368421053
9,90.15921172252676,100.90989062660618,6.2645577028016755,7.676196208249998,9.125072559795129,9.552543753757963,0.6973684210526315,0.587171052631579,0.3980263157894737,0.40131578947368424,8.15459255615119,0.5209703947368421
10,86.89051414194687,104.22709274291992,6.472150630623896,8.818306757292671,9.584565785419645,10.123570997608454,0.7483552631578947,0.6398026315789473,0.3881578947368421,0.4901315789473684,8.749648542736168,0.5666118421052632
11,82.70829829853542,112.2881656445955,7.694673480201927,8.815365931286049,9.134962390502253,9.834763041253415,0.6957236842105263,0.65625,0.5197368421052632,0.524671052631579,8.86994121081091,0.599095394736842
12,78.56278203468955,120.38206612436394,6.827596616572108,8.595931792862848,9.218766897743722,9.478502058412332,0.75,0.662828947368421,0.6200657894736842,0.5740131578947368,8.530199341397752,0.6517269736842105
