epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.0038372847783972905,0.0033206481020897627,5.2762544626485735,6.297819358060329,6.617246929963255,7.151207062290831,0.7911184210526315,0.7401315789473685,0.7171052631578947,0.6990131578947368,0.7368421052631579
2,0.0031694719434800225,0.003923566913918445,6.323901418529618,7.98332121220506,8.94658096728473,9.149821262412834,0.7417763157894737,0.65625,0.6085526315789473,0.59375,0.6500822368421053
3,0.0026769303083668287,0.00383933022079107,6.41557934679498,7.252302839767244,8.127466947419624,8.410432389773657,0.7351973684210527,0.6907894736842105,0.65625,0.6381578947368421,0.6800986842105263
4,0.0023534140291410002,0.004019483458250761,6.81706817764798,7.912531876267357,8.053435086613627,8.679320569449985,0.7203947368421053,0.6611842105263158,0.6644736842105263,0.631578947368421,0.6694078947368423
5,0.002137001920494861,0.004240503203810046,7.215151826782726,8.38669169374561,8.938482259547769,9.553985693256706,0.6990131578947368,0.6398026315789473,0.6266447368421053,0.587171052631579,0.638157894736842
