epoch,train_loss,test_loss,test_peak_dist_t1,test_peak_dist_t2,test_peak_dist_t3,test_peak_dist_t4,test_psr_k5_5_t1,test_psr_k5_5_t2,test_psr_k5_5_t3,test_psr_k5_5_t4,test_psr_aggregate
1,0.005827985416454357,0.0046668989338546196,8.432141334166175,10.45869517137038,10.968216978018017,11.455081047776277,0.6796875,0.5915178571428571,0.5725446428571429,0.5502232142857143,0.5984933035714286
2,0.005523995205501146,0.004636783111241779,8.567863654038796,10.667535000794981,11.197737858640865,11.541372993032285,0.6729910714285714,0.5856584821428571,0.5608258928571429,0.5465959821428571,0.5915178571428571
3,0.005439436005360474,0.004572456142341252,8.446156522981468,10.642397643860194,11.338161169797191,11.5794696359504,0.6760602678571429,0.5873325892857143,0.556640625,0.5440848214285714,0.5910295758928572
4,0.005372678118273789,0.004719379112689889,8.61481151327585,10.833620862128656,11.409854343781408,11.719386273898857,0.6721540178571429,0.5784040178571429,0.5499441964285714,0.5362723214285714,0.5841936383928572
5,0.005312086406883425,0.004656727280234918,8.498032865038878,10.78860922107057,11.178844538167237,11.40642901644508,0.6780133928571429,0.5803571428571429,0.5622209821428571,0.5518973214285714,0.5931222098214286
6,0.00525850176638902,0.0047727115015732124,8.872841683352116,10.755071168431694,11.225168134285996,11.483518646173076,0.666015625,0.5845424107142857,0.5616629464285714,0.5493861607142857,0.5904017857142857
7,0.005201733054754323,0.004636988370163765,8.599819736111359,10.7631904275991,11.349081117041894,11.744231678948497,0.6710379464285714,0.5809151785714286,0.5524553571428571,0.5362723214285714,0.5851702008928572
8,0.005148159482114956,0.0047849494263313575,8.975666764333628,10.740480380783064,11.360630310853287,11.616298906310272,0.6607142857142857,0.5845424107142857,0.556640625,0.5424107142857143,0.5860770089285714
9,0.005093244525717725,0.004648307897566285,8.437364913504835,10.70223048496686,11.23466234658117,11.367551726803367,0.6771763392857143,0.5828683035714286,0.5580357142857143,0.5530133928571429,0.5927734375
10,0.00503245010967187,0.004704488724071,8.676097772024999,10.796544955661348,11.150723914552316,11.455242284685337,0.6668526785714286,0.5831473214285714,0.5627790178571429,0.5491071428571429,0.5904715401785714
11,0.004964614273178747,0.004749674009092685,8.514917692120983,10.69190382727198,11.44777434241767,11.758382058289412,0.6735491071428571,0.5823102678571429,0.5485491071428571,0.5343191964285714,0.5846819196428572
12,0.004891961940046757,0.004703633063140192,8.584860978266189,10.816657715835708,11.313274984388553,11.685056367650848,0.6710379464285714,0.5795200892857143,0.5577566964285714,0.5418526785714286,0.5875418526785714
13,0.004821118664650089,0.0047897941237481844,8.750482046549417,10.848896678673967,11.231553417697777,11.55831804261872,0.66796875,0.5772879464285714,0.5588727678571429,0.54296875,0.5867745535714286
